timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,tcp_flags,flow_duration,flow_packet_count,flow_byte_count,flow_pps,flow_bps,scan_distinct_ports,scan_pps,syn_count,port_repeat_count
1784862345.2987297,172.27.112.252,8.8.8.8,38595,53,UDP,47,,0.0,1,47,0.0,0.0,0,0.0,0,0
1784862345.3012226,172.27.112.252,142.250.182.238,,,OTHER,98,,0.0,1,98,0.0,0.0,0,0.0,0,0
1784862345.3019617,172.27.112.252,142.250.182.238,57304,80,TCP,74,S,0.0,1,74,0.0,0.0,1,2706.0,1,1
1784862345.3345852,172.27.112.252,142.250.182.238,41390,443,TCP,74,S,0.0,1,74,0.0,0.0,2,89.92,2,1
1784862345.521651,142.250.182.238,172.27.112.252,,,OTHER,98,,0.0,1,98,0.0,0.0,0,0.0,0,0
1784862345.52246,142.250.182.238,172.27.112.252,443,41390,TCP,74,SA,0.0,1,74,0.0,0.0,1,2472.33,0,0
1784862345.522837,142.250.182.238,172.27.112.252,80,57304,TCP,74,SA,0.0,1,74,0.0,0.0,2,2529.74,0,0
1784862345.5231125,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.189,2,140,10.61,742.6,2,18.03,2,1
1784862345.5233924,172.27.112.252,142.250.182.238,57304,80,TCP,66,A,0.221,2,140,9.03,632.25,2,22.51,2,1
1784862345.5237207,172.27.112.252,142.250.182.238,57304,80,TCP,86,PA,0.222,3,226,13.53,1019.12,2,26.97,2,1
1784862345.538544,172.27.112.252,142.250.182.238,41390,443,TCP,1636,PA,0.204,3,1776,14.71,8707.64,2,29.5,2,1
1784862345.860774,142.250.182.238,172.27.112.252,80,57304,TCP,66,A,0.338,2,140,5.92,414.28,2,11.8,0,0
1784862345.8615007,142.250.182.238,172.27.112.252,443,41390,TCP,66,A,0.339,2,140,5.9,412.93,2,14.71,0,0
1784862345.8621929,142.250.182.238,172.27.112.252,443,41390,TCP,2762,PA,0.34,3,2902,8.83,8542.0,2,17.62,0,0
1784862345.8626275,142.250.182.238,172.27.112.252,443,41390,TCP,2762,PA,0.34,4,5664,11.76,16650.62,2,20.53,0,0
1784862345.862975,142.250.182.238,172.27.112.252,443,41390,TCP,932,PA,0.341,5,6596,14.68,19370.66,2,23.44,0,0
1784862345.8632278,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.529,4,1842,7.57,3484.4,2,14.23,2,1
1784862345.8634603,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.529,5,1908,9.45,3607.66,2,16.01,2,1
1784862345.8636856,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.529,6,1974,11.34,3730.86,2,17.78,2,1
1784862345.8699136,172.27.112.252,142.250.182.238,41390,443,TCP,146,PA,0.535,7,2120,13.08,3960.19,2,19.34,2,1
1784862345.8703926,172.27.112.252,142.250.182.238,41390,443,TCP,188,PA,0.536,8,2308,14.93,4307.52,2,21.08,2,1
1784862345.8707037,172.27.112.252,142.250.182.238,41390,443,TCP,114,PA,0.536,9,2422,16.79,4517.66,2,22.83,2,1
1784862345.9157267,142.250.182.238,172.27.112.252,80,57304,TCP,1315,PA,0.393,3,1455,7.64,3703.33,2,22.84,0,0
1784862345.9169703,172.27.112.252,142.250.182.238,57304,80,TCP,66,A,0.615,4,292,6.5,474.79,2,22.74,2,1
1784862345.9176278,142.250.182.238,172.27.112.252,80,57304,TCP,66,FA,0.395,4,1521,10.13,3852.67,2,25.25,0,0
1784862345.9180193,172.27.112.252,142.250.182.238,57304,80,TCP,66,FA,0.616,5,358,8.12,581.11,2,24.32,2,1
1784862345.9301684,172.27.112.252,142.250.182.238,57312,80,TCP,74,S,0.0,1,74,0.0,0.0,2,25.44,3,2
1784862345.955187,142.250.182.238,172.27.112.252,443,41390,TCP,716,PA,0.433,6,7312,13.87,16897.49,2,25.37,0,0
1784862345.956169,172.27.112.252,142.250.182.238,41390,443,TCP,97,PA,0.622,10,2519,16.09,4052.55,2,25.96,3,1
1784862345.9569218,142.250.182.238,172.27.112.252,443,41390,TCP,97,PA,0.434,7,7409,16.11,17053.28,2,27.57,0,0
1784862345.9901683,142.250.182.238,172.27.112.252,80,57304,TCP,66,A,0.467,5,1587,10.7,3395.88,2,27.75,0,0
1784862345.996816,142.250.182.238,172.27.112.252,80,57312,TCP,74,SA,0.0,1,74,0.0,0.0,3,29.46,0,0
1784862345.9973452,172.27.112.252,142.250.182.238,57312,80,TCP,66,A,0.067,2,140,29.77,2084.05,2,25.86,3,2
1784862345.9977021,172.27.112.252,142.250.182.238,57312,80,TCP,86,PA,0.068,3,226,44.42,3346.48,2,27.28,3,2
1784862346.0050457,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.67,11,2585,16.41,3855.56,2,28.42,3,1
1784862346.0228703,142.250.182.238,172.27.112.252,443,41390,TCP,486,PA,0.5,8,7895,15.99,15777.05,3,29.93,0,0
1784862346.023376,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.689,12,2651,17.42,3848.77,2,29.08,3,1
1784862346.0251827,142.250.182.238,172.27.112.252,443,41390,TCP,317,PA,0.503,9,8212,17.9,16335.05,3,31.78,0,0
1784862346.02607,142.250.182.238,172.27.112.252,443,41390,TCP,105,PA,0.504,10,8317,19.86,16514.76,3,33.7,0,0
1784862346.026706,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.692,13,2717,18.78,3925.62,2,30.32,3,1
1784862346.0276885,172.27.112.252,142.250.182.238,41390,443,TCP,66,A,0.693,14,2783,20.2,4015.27,2,31.66,3,1
